,mouse,session,nnID,stim_pair,A,B,delay,delayB,delayA,dists
240,2022-09-09,20-59-16,43,"(('E', '-3'), ('G', '0'))",E_096540_semitone_-3,G_101660_semitone_0,10,10,0,45.44123968134712
241,2022-09-09,20-59-16,43,"(('A', '-4'), ('D', '0'))",A_026400_semitone_-4,D_093800_semitone_0,20,20,0,49.4155039048166
242,2022-09-09,20-59-16,43,"(('E', '-4'), ('G', '0'))",E_096540_semitone_-4,G_101660_semitone_0,10,10,0,47.94620033222526
243,2022-09-09,20-59-16,44,"(('A', '-5'), ('D', '0'))",A_026400_semitone_-5,D_093800_semitone_0,-10,0,10,47.10721194021418
244,2022-09-09,20-59-16,44,"(('A', '-3'), ('D', '0'))",A_026400_semitone_-3,D_093800_semitone_0,-10,0,10,43.5697904681588
245,2022-09-09,20-59-16,44,"(('E', '0'), ('G', '0'))",E_096540_semitone_0,G_101660_semitone_0,-10,0,10,45.99416293045848
246,2022-09-09,20-59-16,44,"(('A', '-6'), ('D', '0'))",A_026400_semitone_-6,D_093800_semitone_0,0,0,0,48.750923888827955
247,2022-09-09,20-59-16,44,"(('A', '0'), ('D', '0'))",A_026400_semitone_0,D_093800_semitone_0,20,20,0,51.76062115864037
248,2022-09-09,20-59-16,44,"(('A', '-4'), ('D', '0'))",A_026400_semitone_-4,D_093800_semitone_0,0,0,0,46.411316143684715
249,2022-09-09,20-59-16,45,"(('A', '-5'), ('D', '0'))",A_026400_semitone_-5,D_093800_semitone_0,-20,0,20,46.56117111494951
250,2022-09-09,20-59-16,45,"(('A', '-3'), ('D', '0'))",A_026400_semitone_-3,D_093800_semitone_0,-10,0,10,43.5697904681588
251,2022-09-09,20-59-16,45,"(('A', '-6'), ('D', '0'))",A_026400_semitone_-6,D_093800_semitone_0,-20,0,20,48.042709814230165
252,2022-09-09,20-59-16,45,"(('A', '0'), ('D', '0'))",A_026400_semitone_0,D_093800_semitone_0,0,0,0,46.645538790845876
253,2022-09-09,20-59-16,45,"(('A', '-4'), ('D', '0'))",A_026400_semitone_-4,D_093800_semitone_0,-10,0,10,45.37460057067317
254,2022-09-09,20-59-16,45,"(('E', '-4'), ('G', '0'))",E_096540_semitone_-4,G_101660_semitone_0,-20,0,20,50.78052691721141
255,2022-09-14,20-40-13,46,"(('B', '-5'), ('H', '0'))",B_008510_semitone_-5,H_079690_semitone_0,10,10,0,52.80836337196163
256,2022-09-14,20-40-13,46,"(('A', '-6'), ('I', '2'))",A_004130_semitone_-6,I_080560_semitone_2,20,20,0,44.04223986273505
257,2022-09-14,20-40-13,46,"(('A', '0'), ('I', '0'))",A_004130_semitone_0,I_080560_semitone_0,-10,0,10,44.69610279013268
258,2022-09-14,20-40-13,46,"(('A', '-4'), ('I', '0'))",A_004130_semitone_-4,I_080560_semitone_0,10,10,0,44.0186271715878
259,2022-09-14,20-40-13,46,"(('B', '-6'), ('H', '1'))",B_008510_semitone_-6,H_079690_semitone_1,0,0,0,48.91999218040933
260,2022-09-14,20-40-13,46,"(('B', '0'), ('N', '0'))",B_008510_semitone_0,N_115960_semitone_0,-10,0,10,40.132026967679806
261,2022-09-14,20-40-13,46,"(('B', '-6'), ('N', '2'))",B_008510_semitone_-6,N_115960_semitone_2,10,10,0,39.846894823121765
262,2022-09-14,20-40-13,46,"(('B', '-5'), ('N', '1'))",B_008510_semitone_-5,N_115960_semitone_1,20,20,0,39.40665491897012
263,2022-09-14,20-40-13,46,"(('B', '0'), ('H', '0'))",B_008510_semitone_0,H_079690_semitone_0,0,0,0,51.14661210156266
264,2022-09-14,20-40-13,46,"(('A', '-5'), ('I', '1'))",A_004130_semitone_-5,I_080560_semitone_1,20,20,0,44.72283510153495
265,2022-09-14,20-40-13,46,"(('B', '-4'), ('N', '0'))",B_008510_semitone_-4,N_115960_semitone_0,10,10,0,38.082992862068174
266,2022-09-14,20-40-13,47,"(('B', '-5'), ('H', '0'))",B_008510_semitone_-5,H_079690_semitone_0,-10,0,10,49.8418623448844
267,2022-09-14,20-40-13,47,"(('A', '-6'), ('I', '2'))",A_004130_semitone_-6,I_080560_semitone_2,20,20,0,44.04223986273505
268,2022-09-14,20-40-13,47,"(('A', '0'), ('I', '0'))",A_004130_semitone_0,I_080560_semitone_0,-10,0,10,44.69610279013268
