,mouse,session,unit_no,ch,stim_pair,nnID,A,B,tfA,tfB,eu,freq,temp,d
124,2022-06-01,17-25-22,30,7,JL,27,L_118400,J_091560,0.085,0.095,38.61202346487398,0.6844874287844654,0.10546275293133468,28.95270950931226
125,2022-06-01,19-20-10,40,10,"(('J', '0'), ('L', '-2'))",27,L_118400_semitone_-2,J_091560_semitone_0,0.085,0.075,43.32684793316231,0.3201028118642764,0.08968833267738298,24.372736441103093
126,2022-06-01,19-20-10,40,10,"(('I', '-2'), ('K', '1'))",27,K_093850_semitone_1,I_045160_semitone_-2,0.065,0.085,35.87526189373072,0.5057867444848694,0.3952612382850888,14.709853887570105
127,2022-06-01,17-25-22,63,13,IK,28,K_093850,I_045160,0.105,0.085,34.660181124681486,0.5514808795581876,0.6055614427340296,7.960464271734549
128,2022-06-20,21-46-19,112,29,"(('G', '0'), ('N', '-1'))",29,N_068420_semitone_-1,G_012380_semitone_0,0.075,0.055,43.21614003413106,0.6498688738644061,-0.4201680794899138,28.225972283654496
129,2022-06-20,21-46-19,112,29,"(('N', '0'), ('S', '2'))",29,S_093870_semitone_2,N_068420_semitone_0,0.085,0.065,26.215289385794147,0.8179391097539754,0.6298559734112988,37.10239759471917
130,2022-06-20,21-46-19,112,29,"(('G', '0'), ('L', '-2'))",29,G_012380_semitone_0,L_046220_semitone_-2,0.055,0.065,49.00874362423549,0.21598498316862744,0.5108062108644228,27.634410095487414
131,2022-07-01,18-45-33,60,17,"(('I', '-4'), ('O', '2'))",30,I_011250_semitone_-4,O_091570_semitone_2,0.095,0.095,42.57686798915502,0.312308432022909,0.22357655026518294,31.977249209575696
132,2022-07-01,18-45-33,60,17,"(('F', '-6'), ('R', '0'))",30,R_101810_semitone_0,F_005810_semitone_-6,0.075,0.085,44.013119857522746,0.4239762768197088,0.11757712934646773,18.436854112157697
133,2022-07-01,18-45-33,60,17,"(('Q', '-1'), ('R', '0'))",30,R_101810_semitone_0,Q_093840_semitone_-1,0.075,0.085,35.37702057288194,0.7040145264047516,0.32466681496183103,29.565286292878987
134,2022-07-01,18-45-33,60,17,"(('Q', '-6'), ('R', '1'))",30,R_101810_semitone_1,Q_093840_semitone_-6,0.115,0.065,39.31732735731747,0.2720702081363882,0.31832878639845535,55.13146634900894
135,2022-07-01,18-45-33,60,17,"(('Q', '-2'), ('R', '2'))",30,Q_093840_semitone_-2,R_101810_semitone_2,0.145,0.095,37.590840837164265,0.37876292075402085,0.7685368443694224,48.03033912489757
136,2022-07-01,18-45-33,60,17,"(('I', '-2'), ('O', '0'))",30,O_091570_semitone_0,I_011250_semitone_-2,0.085,0.115,45.10117825345783,0.25811257218444966,0.22655899557865303,14.711220466267019
137,2022-07-01,18-45-33,60,17,"(('I', '-6'), ('O', '2'))",30,I_011250_semitone_-6,O_091570_semitone_2,0.085,0.095,45.706665038521635,0.05052559456862275,0.24893559192272116,39.54316720306447
138,2022-07-01,20-58-11,54,17,"(('F', '-5'), ('I', '-2'))",30,I_011250_semitone_-2,F_005810_semitone_-5,0.145,0.085,21.02555946998284,0.6408197920037852,0.9043401391435593,11.282685870973982
139,2022-07-01,20-58-11,54,17,"(('I', '-6'), ('R', '0'))",30,R_101810_semitone_0,I_011250_semitone_-6,0.085,0.075,38.15763077084338,0.4703118746165461,0.3299644667497731,32.28699426021343
140,2022-07-01,20-58-11,54,17,"(('I', '-5'), ('R', '-5'))",30,R_101810_semitone_-5,I_011250_semitone_-5,0.045,0.075,33.136660939487506,0.5064414651259626,-0.34460256300397424,14.8181873029202
141,2022-07-01,20-58-11,54,17,"(('Q', '-6'), ('R', '2'))",30,Q_093840_semitone_-6,R_101810_semitone_2,0.065,0.075,41.326465130060484,0.2985506116664673,-0.34373991826205924,61.90234422011429
142,2022-07-01,20-58-11,54,17,"(('I', '-6'), ('R', '1'))",30,R_101810_semitone_1,I_011250_semitone_-6,0.095,0.075,37.363410882901306,0.3247164731143466,0.30523736221030007,38.15422310538461
143,2022-07-01,20-58-11,54,17,"(('Q', '-5'), ('R', '2'))",30,Q_093840_semitone_-5,R_101810_semitone_2,0.065,0.075,41.61469623940891,0.3059931431231701,-0.4881820751725981,59.56344421345322
144,2022-07-01,20-58-11,54,17,"(('I', '-5'), ('R', '2'))",30,I_011250_semitone_-5,R_101810_semitone_2,0.075,0.075,41.937674761360334,0.3623593586589314,-0.35985116682680585,40.78336884828776
145,2022-07-01,20-58-11,54,17,"(('I', '-4'), ('R', '0'))",30,I_011250_semitone_-4,R_101810_semitone_0,0.095,0.085,37.742065769859515,0.5040920589037189,0.2216492440183476,30.070327713782564
